"CurrencyCode","name_variations_count","name_variations","nominal_variations_count","nominal_values"
"PLN","2","{Злотый,Злотых}","2","{1,10}"
"RON","2","{""Румынский лей"",""Румынских леев""}","2","{1,10}"
"SEK","2","{""Шведская крона"",""Шведских крон""}","2","{1,10}"
"HKD","2","{""Гонконгский доллар"",""Гонконгских долларов""}","2","{1,10}"
"TMT","2","{""Новый туркменский манат"",""Новых туркменских манатов""}","2","{1,10}"
"TRY","2","{""Турецкая лира"",""Турецких лир""}","2","{1,10}"
"BRL","2","{""Бразильский реал"",""Бразильских реалов""}","2","{1,10}"
"CNY","2","{Юаней,Юань}","2","{1,10}"
"DKK","2","{""Датская крона"",""Датских крон""}","2","{1,10}"
"NOK","2","{""Норвежская крона"",""Норвежских крон""}","2","{1,10}"
"UZS","1","{""Узбекских сумов""}","2","{1000,10000}"
"BYR","1","{""Белорусских рублей""}","2","{1000,10000}"
"INR","1","{""Индийских рупий""}","2","{10,100}"
"JPY","1","{Иен}","2","{10,100}"
"KGS","1","{Сомов}","2","{10,100}"
"TJS","1","{Сомони}","2","{1,10}"
"AMD","1","{""Армянских драмов""}","2","{100,1000}"
вот такие пироги